ID_LOC,TIME_ZONE,TIMESTAMP,TIMESTAMP_UNIX,TIME,PRESSURE_MSL,TEMPERATURE_2M,TEMPERATURE_80M
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-24T09:00:00Z,1015.8,19.8,19.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T16:00:00Z,1013.9,24.2,21.3
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T18:00:00Z,1014.3,21.8,20.7
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-25T20:00:00Z,1014.6,20,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-26T15:00:00Z,1014.5,22.4,19.8
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-27T20:00:00Z,1015.5,21.6,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-27T21:00:00Z,1015.9,21.4,20.4
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-27T23:00:00Z,1016.4,21,20.2
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-28T06:00:00Z,1015.9,19.9,20.5
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-28T07:00:00Z,1016.3,20.2,20.3
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-28T23:00:00Z,1019.3,22.4,22.5
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-29T12:00:00Z,1021.5,25.5,22.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-29T22:00:00Z,1020,22.9,22.6
id2,GMT,2023-04-23T03:39:13Z,1682221153452,2023-04-29T23:00:00Z,1020,22.8,22.8
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-22T10:00:00Z,1015.5,20.4,20
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-22T16:00:00Z,1014.3,22,20.9
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-23T13:00:00Z,1016.3,19.6,21.9
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-24T13:00:00Z,1016.8,22.2,20.5
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-24T14:00:00Z,1016.5,22.2,19.9
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-24T21:00:00Z,1016.4,20.1,19.1
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-25T00:00:00Z,1016.6,19.3,18.9
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-25T04:00:00Z,1014.4,18.2,17.5
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-25T05:00:00Z,1014,18.2,17.4
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-25T07:00:00Z,1015.3,17.2,16.8
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-25T14:00:00Z,1015.3,25.8,21.4
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-25T19:00:00Z,1014.5,22.3,20.6
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-26T03:00:00Z,1012.6,20.3,19.9
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-26T09:00:00Z,1014.5,20.9,19.4
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-26T13:00:00Z,1014.8,23.8,21.5
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-26T17:00:00Z,1013.3,23.1,21.4
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-27T02:00:00Z,1014.3,18.4,19.2
id3,GMT,2023-04-23T03:42:50Z,1682221370266,2023-04-27T05:00:00Z,1014.3,17.7,18.9
